==================================================
MICRO-515 Challenge 1a - Evaluation Results
==================================================

Controller type : NeuralNetworkController
Checkpoint      : results/PassiveWalker-v0/20260312_160552_neural_controller_ckpts
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:    4344.82
  Episode   2:    4386.59
  Episode   3:    4160.83
  Episode   4:    4340.18
  Episode   5:    4494.25
  Episode   6:    4357.26
  Episode   7:    4692.38
  Episode   8:    4633.31
  Episode   9:    4684.61
  Episode  10:    4514.53
  Episode  11:    4534.59
  Episode  12:    4044.48
  Episode  13:    4593.70
  Episode  14:    4225.77
  Episode  15:    4526.76
  Episode  16:    4429.86
  Episode  17:    4102.27
  Episode  18:    4497.70
  Episode  19:    4335.85
  Episode  20:    4447.95
  Episode  21:    4392.57
  Episode  22:    4401.41
  Episode  23:    4420.02
  Episode  24:    4376.65
  Episode  25:    4457.68
  Episode  26:    4211.97
  Episode  27:    4742.20
  Episode  28:    4301.75
  Episode  29:    4354.44
  Episode  30:    4168.57
  Episode  31:    4509.50
  Episode  32:    4450.79
  Episode  33:    4171.24
  Episode  34:    4185.59
  Episode  35:    4422.84
  Episode  36:    4723.63
  Episode  37:    4298.22
  Episode  38:    4087.44
  Episode  39:    4391.83
  Episode  40:    4439.35
  Episode  41:    4525.59
  Episode  42:    4402.35
  Episode  43:    4408.38
  Episode  44:    3837.01
  Episode  45:    4662.82
  Episode  46:    4178.25
  Episode  47:    4389.53
  Episode  48:    4584.46
  Episode  49:    4445.80
  Episode  50:    4279.52
  Episode  51:    4315.83
  Episode  52:    4395.38
  Episode  53:    4645.41
  Episode  54:    4348.31
  Episode  55:    4391.31
  Episode  56:    3568.70
  Episode  57:    3809.26
  Episode  58:    4474.95
  Episode  59:    4603.65
  Episode  60:    4565.85
  Episode  61:    4646.41
  Episode  62:    4616.08
  Episode  63:    4330.17
  Episode  64:    4593.98
  Episode  65:    4713.41
  Episode  66:    4544.68
  Episode  67:    4470.38
  Episode  68:    4297.98
  Episode  69:    3689.68
  Episode  70:    4605.31
  Episode  71:    4339.94
  Episode  72:    4424.67
  Episode  73:    4246.28
  Episode  74:    4603.73
  Episode  75:    4417.22
  Episode  76:    4269.91
  Episode  77:    4460.30
  Episode  78:    4391.98
  Episode  79:    4320.40
  Episode  80:    4864.23
  Episode  81:    4567.70
  Episode  82:    4403.12
  Episode  83:    4228.99
  Episode  84:    4317.65
  Episode  85:    4292.82
  Episode  86:    4470.94
  Episode  87:    4572.94
  Episode  88:    4270.93
  Episode  89:    4378.22
  Episode  90:    4671.89
  Episode  91:    4445.29
  Episode  92:    4445.39
  Episode  93:    4154.82
  Episode  94:    4255.60
  Episode  95:    4484.70
  Episode  96:    4496.05
  Episode  97:    4653.86
  Episode  98:    4467.47
  Episode  99:    3865.75
  Episode 100:    4450.65
  Episode 101:    4336.73
  Episode 102:    4590.64
  Episode 103:    4457.76
  Episode 104:    4246.33
  Episode 105:    4632.98
  Episode 106:    4209.29
  Episode 107:    4246.18
  Episode 108:    4471.97
  Episode 109:    4111.03
  Episode 110:    4571.27
  Episode 111:    3946.02
  Episode 112:    4176.32
  Episode 113:    4483.14
  Episode 114:    4480.27
  Episode 115:    4656.08
  Episode 116:    4496.11
  Episode 117:    4148.14
  Episode 118:    4632.05
  Episode 119:    4484.56
  Episode 120:    4492.68
  Episode 121:    4265.60
  Episode 122:    4399.80
  Episode 123:    4484.87
  Episode 124:    4575.39
  Episode 125:    4527.15
  Episode 126:    3958.79
  Episode 127:    4271.82
  Episode 128:    4490.46
  Episode 129:    3931.83
  Episode 130:    3970.69
  Episode 131:    4424.33
  Episode 132:    4635.21
  Episode 133:    4489.32
  Episode 134:    4345.61
  Episode 135:    4692.95
  Episode 136:    4197.86
  Episode 137:    4685.61
  Episode 138:    4197.48
  Episode 139:    4412.70
  Episode 140:    4442.17
  Episode 141:    4171.03
  Episode 142:    4779.90
  Episode 143:    4380.04
  Episode 144:    4378.64
  Episode 145:    4234.74
  Episode 146:    4151.66
  Episode 147:    4791.14
  Episode 148:    4513.45
  Episode 149:    4641.38
  Episode 150:    4309.56
  Episode 151:    4267.46
  Episode 152:    4432.13
  Episode 153:    4651.43
  Episode 154:    4522.13
  Episode 155:    4033.57
  Episode 156:    4342.67
  Episode 157:    4574.93
  Episode 158:    3997.12
  Episode 159:    4447.57
  Episode 160:    4387.11
  Episode 161:    4481.20
  Episode 162:    4261.94
  Episode 163:    4324.68
  Episode 164:    4553.40
  Episode 165:    4487.81
  Episode 166:    4189.26
  Episode 167:    4191.96
  Episode 168:    4506.17
  Episode 169:    4200.75
  Episode 170:    4379.80
  Episode 171:    4451.67
  Episode 172:    4224.62
  Episode 173:    4199.97
  Episode 174:    4372.41
  Episode 175:    4557.20
  Episode 176:    4434.71
  Episode 177:    4617.07
  Episode 178:    4067.25
  Episode 179:    4192.38
  Episode 180:    4600.51
  Episode 181:    4125.51
  Episode 182:    4303.40
  Episode 183:    4430.96
  Episode 184:    4622.84
  Episode 185:    4464.08
  Episode 186:    4656.88
  Episode 187:    4650.27
  Episode 188:    4691.45
  Episode 189:    4459.22
  Episode 190:    4227.75
  Episode 191:    4593.77
  Episode 192:    4453.92
  Episode 193:    4183.78
  Episode 194:    4316.46
  Episode 195:    4469.64
  Episode 196:    4693.91
  Episode 197:    4011.27
  Episode 198:    4579.83
  Episode 199:    4180.72
  Episode 200:    4506.31
  Episode 201:     818.12
  Episode 202:    4428.15
  Episode 203:    4635.27
  Episode 204:    4076.55
  Episode 205:    4678.61
  Episode 206:    4091.24
  Episode 207:    4339.99
  Episode 208:    4464.18
  Episode 209:    4421.80
  Episode 210:    4164.08
  Episode 211:    4350.90
  Episode 212:    4217.40
  Episode 213:    4614.13
  Episode 214:    4556.93
  Episode 215:    4719.70
  Episode 216:    4755.40
  Episode 217:    4170.42
  Episode 218:    4557.71
  Episode 219:    4669.63
  Episode 220:    4511.85
  Episode 221:    4732.32
  Episode 222:    4479.29
  Episode 223:    4644.79
  Episode 224:    4610.16
  Episode 225:    4326.94
  Episode 226:    4494.51
  Episode 227:    4683.38
  Episode 228:    4339.71
  Episode 229:    4624.13
  Episode 230:    4522.95
  Episode 231:    4590.37
  Episode 232:    4619.26
  Episode 233:    4701.37
  Episode 234:    4636.88
  Episode 235:    4578.07
  Episode 236:    4270.59
  Episode 237:    4330.27
  Episode 238:    4131.26
  Episode 239:    4247.49
  Episode 240:    4494.63
  Episode 241:    4312.37
  Episode 242:    4454.51
  Episode 243:    4102.37
  Episode 244:    4285.40
  Episode 245:    4401.68
  Episode 246:    4640.65
  Episode 247:    4167.33
  Episode 248:    4442.13
  Episode 249:    4478.12
  Episode 250:    4604.35
  Episode 251:    4465.48
  Episode 252:    4149.08
  Episode 253:    4421.67
  Episode 254:    4635.16
  Episode 255:    4402.74
  Episode 256:    4581.04
--------------------------------------------------

MEAN SCORE : 4392.45
STD        : 304.21
MIN        : 818.12
MAX        : 4864.23

Video episode reward: 4525.90
